Date,Close/Last,Volume,Open,High,Low
03/28/2025,$156.06,34866460,$162.36,$163.81,$155.3394
03/27/2025,$164.08,21571170,$166.71,$167.44,$163.85
03/26/2025,$167.14,22554240,$171.30,$171.9396,$166.8606
03/25/2025,$172.79,13841590,$171.18,$172.91,$170.55
03/24/2025,$169.93,18742850,$169.265,$170.50,$167.44
03/21/2025,$166.25,29882060,$163.38,$166.47,$163.03
03/20/2025,$165.05,19981510,$163.825,$167.03,$163.14
03/19/2025,$166.28,24955720,$163.915,$168.1334,$163.05
03/18/2025,$162.67,24616780,$165.96,$166.44,$158.80
03/17/2025,$166.57,17839140,$167.325,$168.46,$165.81
03/14/2025,$167.62,18611090,$165.315,$168.25,$164.51
03/13/2025,$164.73,15206170,$167.98,$168.12,$164.07
03/12/2025,$169.00,19880060,$168.47,$169.53,$165.48
03/11/2025,$165.98,23705900,$166.68,$168.655,$163.24
03/10/2025,$167.81,28990720,$170.16,$170.45,$165.565
03/07/2025,$175.75,16395290,$173.242,$176.90,$172.25
03/06/2025,$174.21,19082400,$172.55,$176.73,$172.508
03/05/2025,$174.99,18848040,$172.32,$175.75,$170.93
03/04/2025,$172.61,30711410,$167.94,$175.165,$167.54
03/03/2025,$168.66,24121990,$173.73,$175.00,$167.64
02/28/2025,$172.22,30049810,$170.30,$172.50,$168.39
02/27/2025,$170.21,25930530,$175.94,$176.59,$169.752
02/26/2025,$174.70,23693250,$176.945,$178.08,$173.59
02/25/2025,$177.37,20832490,$180.155,$180.76,$176.77
02/24/2025,$181.19,18734010,$183.80,$185.09,$180.88
02/21/2025,$181.58,19520780,$187.29,$187.47,$181.13
02/20/2025,$186.64,12063810,$186.50,$187.12,$184.60
02/19/2025,$187.13,13120470,$186.185,$187.36,$185.50
02/18/2025,$185.80,19796030,$187.44,$187.78,$183.58
02/14/2025,$186.87,12714150,$186.83,$188.15,$186.11
02/13/2025,$187.88,12729330,$185.93,$187.99,$184.88
02/12/2025,$185.43,17632310,$185.23,$186.83,$183.63
02/11/2025,$187.07,13028100,$186.835,$188.80,$186.08
02/10/2025,$188.20,16606020,$189.06,$189.99,$187.61
02/07/2025,$187.14,29565720,$192.74,$193.015,$185.10
02/06/2025,$193.31,20816590,$190.99,$193.83,$190.49
02/05/2025,$193.30,43719590,$193.10,$194.5499,$189.91
02/04/2025,$207.71,28285440,$204.50,$208.70,$204.26
02/03/2025,$202.64,16719470,$202.215,$205.22,$201.66
01/31/2025,$205.60,17087340,$203.715,$207.08,$203.58
01/30/2025,$202.63,14571480,$199.76,$203.2384,$199.4717
01/29/2025,$197.18,12287820,$197.37,$198.4595,$195.19
01/28/2025,$197.07,15939160,$194.65,$197.23,$192.61
01/27/2025,$193.77,24970170,$194.19,$198.67,$192.70
01/24/2025,$201.90,12732380,$199.85,$202.57,$199.7842
01/23/2025,$199.58,15170840,$199.98,$201.94,$196.82
01/22/2025,$200.03,15477380,$200.55,$202.12,$199.20
01/21/2025,$199.63,19005230,$200.51,$203.84,$199.44
01/17/2025,$197.55,22109130,$198.05,$198.81,$195.31
01/16/2025,$194.41,13449580,$195.825,$196.9799,$194.30
01/15/2025,$196.98,12894880,$194.35,$197.80,$193.33
01/14/2025,$191.05,13651180,$192.50,$193.27,$189.64
01/13/2025,$192.29,13169060,$191.35,$192.49,$188.66
01/10/2025,$193.17,20753790,$195.42,$197.62,$191.60
01/08/2025,$195.39,14335340,$193.95,$197.64,$193.75
01/07/2025,$196.71,16966760,$198.27,$202.14,$195.94
01/06/2025,$197.96,19483320,$195.15,$199.56,$195.06
01/03/2025,$193.13,12874960,$192.725,$194.50,$191.35
01/02/2025,$190.63,17545160,$191.485,$193.20,$188.71
12/31/2024,$190.44,14355220,$192.445,$193.25,$189.58
12/30/2024,$192.69,12209530,$190.865,$193.78,$190.36
12/27/2024,$194.04,14692990,$196.47,$196.80,$191.972
12/26/2024,$197.10,7918434,$196.74,$198.16,$195.87
12/24/2024,$197.57,6809823,$196.17,$197.67,$195.1979
12/23/2024,$195.99,15235940,$194.03,$196.49,$191.63
12/20/2024,$192.96,45319700,$187.01,$194.1354,$186.37
12/19/2024,$189.70,26981200,$193.28,$194.60,$189.52
12/18/2024,$190.15,27638420,$196.83,$198.6899,$189.28
12/17/2024,$197.12,24129480,$198.53,$202.88,$196.69
12/16/2024,$198.16,32248640,$194.365,$200.64,$194.11
12/13/2024,$191.38,18883220,$192.71,$194.34,$191.26
12/12/2024,$193.63,25197760,$196.30,$196.7053,$193.28
12/11/2024,$196.71,41664490,$186.70,$196.89,$186.26
12/10/2024,$186.53,34317440,$184.535,$188.03,$182.67
12/09/2024,$177.10,19887790,$175.715,$178.04,$175.40
12/06/2024,$176.49,13319550,$173.88,$176.8389,$173.55
12/05/2024,$174.31,16145520,$177.32,$177.71,$174.01
12/04/2024,$176.09,18239840,$172.78,$176.43,$172.75
12/03/2024,$173.02,15721480,$173.12,$174.32,$172.51
12/02/2024,$172.98,16593440,$170.32,$173.60,$170.27
11/29/2024,$170.49,9250712,$170.06,$170.87,$168.75
11/27/2024,$170.82,12433370,$170.68,$171.14,$169.67
11/26/2024,$170.62,14937480,$169.49,$171.495,$169.43
11/25/2024,$169.43,21395650,$167.99,$170.46,$167.40
